target,target_label,model,pred_decile,n,mean_pred,mean_observed,high_rate
peak_delta_2h,2h peak delta,M2_macro_precgm_context,9,150,75.1173763213431,74.57199999999999,0.4066666666666667
peak_delta_2h,2h peak delta,M2_macro_precgm_context,10,150,87.19363333872745,86.96199999999999,0.5333333333333333
peak_delta_2h,2h peak delta,M3_msi_enhanced,1,150,6.941914674520966,15.405333333333335,0.04
peak_delta_2h,2h peak delta,M3_msi_enhanced,2,150,24.32620578123272,26.721333333333334,0.05333333333333334
peak_delta_2h,2h peak delta,M3_msi_enhanced,3,150,33.66653933258626,29.03,0.08666666666666667
peak_delta_2h,2h peak delta,M3_msi_enhanced,4,149,40.718055136521386,40.18791946308725,0.12751677852348994
peak_delta_2h,2h peak delta,M3_msi_enhanced,5,150,48.07242740777378,50.38266666666667,0.21333333333333335
peak_delta_2h,2h peak delta,M3_msi_enhanced,6,150,54.80729879131736,51.39066666666667,0.22
peak_delta_2h,2h peak delta,M3_msi_enhanced,7,149,61.07333276941294,53.36778523489933,0.20134228187919462
peak_delta_2h,2h peak delta,M3_msi_enhanced,8,150,68.67991648774978,69.29599999999999,0.38666666666666666
peak_delta_2h,2h peak delta,M3_msi_enhanced,9,150,78.1455133903869,74.458,0.5266666666666666
peak_delta_2h,2h peak delta,M3_msi_enhanced,10,150,96.08063690045364,101.27866666666667,0.66
